Reference,Value,MPN,Footprint,Face,Population,Assembly_note
TP9,+3V3,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP10,VAMP,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP11,VBAT,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP12,I2S_DIN,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP13,I2S_BCLK,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP14,I2S_LRCLK,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP15,AMP_MUTE,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP16,POWER,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
U1,W25Q16JVUXIQ TR / 2MB,W25Q16JVUXIQ TR,T8:Winbond_USON8_UX_2x3,F,fitted,Not an order authorization
U2,RT9080-3.3,,Adafruit Feather RP2040 Prop-Maker-import-fps:SOT23-5,F,fitted,MPN/assembly qualification remains open
U3,MCP73831T-2ACI/OT,,Adafruit Feather RP2040 Prop-Maker-import-fps:SOT23-5,F,fitted,MPN/assembly qualification remains open
U4,MAX98357A,,Adafruit Feather RP2040 Prop-Maker-import-fps:QFN16_3MM,F,fitted,MPN/assembly qualification remains open
U5,TPS61023DRLR,TPS61023DRLR,Adafruit TPS61023-import-fps:SOT563,F,fitted,Not an order authorization
U6,BQ29700DSER,BQ29700DSER,T8:BQ29700_DSE6,F,fitted,Not an order authorization
X6,USB Type C,,Adafruit Feather RP2040 Prop-Maker-import-fps:USB_C_CUSB31-CFM2AX-01-X,F,fitted,MPN/assembly qualification remains open
Y1,12MHz/12pF,,Adafruit Feather RP2040 Prop-Maker-import-fps:CRYSTAL_2.5X2,F,fitted,MPN/assembly qualification remains open
MH1,M2 GND mounting pad,,MountingHole:MountingHole_2.2mm_M2_Pad,through-board,board-only mount,Fasteners belong to mechanical BOM
MH2,M2 GND mounting pad,,MountingHole:MountingHole_2.2mm_M2_Pad,through-board,board-only mount,Fasteners belong to mechanical BOM
