Reference,Value,Footprint,MPN,DNP,Review status
C4,10uF/16V,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C5,10uF/16V,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C6,0.1uF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C7,0.1uF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C8,1uF/25V,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C9,0.1uF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
CHG0,ORANGE,Adafruit Feather RP2040 Prop-Maker-import-fps:CHIPLED_0603_NOOUTLINE,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
CHG_EN0,SOLDERJUMPER_CLOSED,Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,,no,PCB copper test pad; no fitted component
D+1,"TPB1,27","Adafruit Feather RP2040 Prop-Maker-import-fps:B1,27",,no,PCB copper test pad; no fitted component
D-1,"TPB1,27","Adafruit Feather RP2040 Prop-Maker-import-fps:B1,27",,no,PCB copper test pad; no fitted component
D3,1N4148,Adafruit Feather RP2040 Prop-Maker-import-fps:SOD-323_MINI,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
D4,PMEG2020AEA,Adafruit Feather RP2040 Prop-Maker-import-fps:SOD-323F,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
FB1,Ferrite,Adafruit Feather RP2040 Prop-Maker-import-fps:0603-NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
FB2,Ferrite,Adafruit Feather RP2040 Prop-Maker-import-fps:0603-NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
GAIN0,SOLDERJUMPER_2WAY,Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,,no,PCB copper test pad; no fitted component
IC1,RP2040_QFN56,Adafruit Feather RP2040 Prop-Maker-import-fps:QFN56_7MM_REDUCEDEPAD,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
IC4,LSM6DSOXTR,Adafruit_LSM6DSOX-import-fps:LGA-14L,LSM6DSOXTR,no,"Owner-approved sensor; footprint mapping reviewed, assembly quote pending"
J1,504050-0291,Connector_Molex:Molex_Pico-Lock_504050-0291_1x02-1MP_P1.50mm_Horizontal,504050-0291,no,Prototype ordering code selected; assembly availability and full integration review pending
J2,SM02B-SRSS-TB,Connector_JST:JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,SM02B-SRSS-TB,no,Prototype ordering code selected; assembly availability and full integration review pending
L0,RED,Adafruit Feather RP2040 Prop-Maker-import-fps:CHIPLED_0603_NOOUTLINE,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
L1,1uH (MPN pending),Adafruit TPS61023-import-fps:INDUCTOR_5X5MM_TDK_VLC5045,,no,"Boost design candidate; exact MPN, effective values, compensation and thermal review pending"
Q1,AO3401,Adafruit Feather RP2040 Prop-Maker-import-fps:SOT23-WIDE,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
Q2,C20917,Adafruit Feather RP2040 Prop-Maker-import-fps:SOT23-WIDE,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
Q3,DMG3415UFY,Handbell:DFN2015-3_DrainPad,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
Q4,AO3400A,Package_TO_SOT_SMD:SOT-23,AO3400A,no,Prototype ordering code selected; assembly availability and full integration review pending
R1,10K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R10,22 ohm,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R11,1K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R12,5.1K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R13,5.1K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R14,10K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R15,10K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R16,100K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R17,100K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R18,10K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R2,10K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R20,4.7K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,New control/filter passive; voltage/tolerance/MPN and cable review pending
R21,10K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,New control/filter passive; voltage/tolerance/MPN and cable review pending
R22,1K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,New control/filter passive; voltage/tolerance/MPN and cable review pending
R23,732K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Boost design candidate; exact MPN, effective values, compensation and thermal review pending"
R24,100K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Boost design candidate; exact MPN, effective values, compensation and thermal review pending"
R3,10K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R4,10K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R5,10K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R6,1K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R7,10K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R8,5.1K,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
R9,22 ohm,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
TP10,VAMP,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP11,VBAT,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP12,I2S_DIN,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP13,I2S_BCLK,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP14,I2S_LRCLK,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP15,AMP_MUTE,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP16,POWER,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP3,TESTPOINTROUND1.5MMNO,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP4,TESTPOINTROUND1.5MMNO,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP5,TESTPOINTROUND1.5MMNO,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP6,TESTPOINTROUND1.5MMNO,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP7,~{RESET},Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP8,GND,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
TP9,+3V3,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,,no,PCB copper test pad; no fitted component
U1,8MB QSPI,Adafruit Feather RP2040 Prop-Maker-import-fps:USON8_4X4,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
U2,RT9080-3.3,Adafruit Feather RP2040 Prop-Maker-import-fps:SOT23-5,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
U3,MCP73831T-2ACI/OT,Adafruit Feather RP2040 Prop-Maker-import-fps:SOT23-5,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
U4,MAX98357A,Adafruit Feather RP2040 Prop-Maker-import-fps:QFN16_3MM,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
U5,TPS61023DRLR,Adafruit TPS61023-import-fps:SOT563,TPS61023DRLR,no,Prototype ordering code selected; assembly availability and full integration review pending
X1,JSTPH,Adafruit Feather RP2040 Prop-Maker-import-fps:JSTPH2_BATT,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
X6,USB Type C,Adafruit Feather RP2040 Prop-Maker-import-fps:USB_C_CUSB31-CFM2AX-01-X,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
Y1,12MHz/12pF,Adafruit Feather RP2040 Prop-Maker-import-fps:CRYSTAL_2.5X2,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
